course,grade,citz,satv,satm,acten,actma,actr,actsc,actc,hsgpa,hspercen,acadrate,reclevel,place1,place2,placetot
M151,A,,720,680,35,36,32,28,33,4,0.99,2,5,15,15,30
M151,B+,USA,,,33,35,32,34,34,4,1,2,5,,,
M151,B+,USA,,,25,35,27,29,29,3.61,,2,5,11,14,25
M151,W,USA,,,34,35,33,33,34,3.53,0.9,2,5,11,12,23
M151,D+,USA,,,30,35,35,36,34,3.28,,3,5,11,7,18
M151,A,USA,,,35,35,33,36,35,3.61,0.94,2,5,13,10,23
M151,A,USA,,,29,35,33,28,31,3.57,,2,5,10,10,20
M151,C,,,,26,35,31,31,31,3.13,0.83,3,5,11,10,21
M151,A,,,,30,35,27,28,30,3.6,,2,7,14,9,23
M151,W,USA,,,33,34,30,27,31,3.34,0.86,3,5,11,6,17
M151,C-,USA,,,35,34,31,35,34,3.64,0.93,2,5,13,10,23
M151,C,USA,,,29,34,31,30,31,2.9,0.65,3,5,5,5,10
M151,A,USA,,,29,34,33,34,33,3.8,0.93,2,5,13,8,21
M151,B-,USA,,,25,34,24,29,28,2.89,0.61,4,6,,,
M151,F,USA,,,28,34,36,36,34,3.21,0.58,4,5,15,15,30
M131,A-,USA,700,650,28,34,32,32,32,2.56,,4,5,,,
M151,C,,, ,36,34,32,28,33,3.66,0.87,2,5,10,7,17
M151,C,,,,30,34,36,36,34,3.5,0.89,3,5,11,11,22
M151,A,INT,,,28,33,18,26,25,,,,5,10,14,24
M151,C,USA,,,33,33,34,33,33,3.93,0.95,3,5,,,
M151,D,USA,,,35,33,33,33,34,3.94,0.98,2,5,,,
M151,A,USA,,,30,33,29,33,31,4,0.982758621,2,5,13,8,21
M151,D-,USA,,,30,33,24,25,28,2.86,0.753694581,3,5,12,9,21
M151,A-,USA,,,28,33,31,31,31,3.92,0.974,2,5,11,9,20
M131,C,USA,,,32,33,34,26,31,2.57,0.44,5,4,8,7,15
M121,B-,USA,,,33,33,34,31,33,3.82,0.93,2,5,,,
M151,A-,,,,35,33,36,32,34,3.71,,1,5,12,9,21
M151,C+,,,,28,33,29,28,29,3.32,0.79,4,5,,,
M151,B,,,,31,33,25,27,29,3.36,0.88,2,5,,,
M121,A-,,,,35,33,36,33,34,3.45,0.95,2,5,11,6,17
M151,A,INT,,,25,32,24,31,28,,,,5,13,14,27
M151,C,INT,570,750,28,32,29,28,29,3.94,,3,5,15,12,27
M151,B-,USA,,,23,32,27,33,29,3.76,0.93,3,5,12,10,22
M151,A,USA,,,28,32,31,31,31,3.93,0.96,2,5,9,8,17
M151,C,USA,,,28,32,22,25,27,3,,4,5,12,8,20
M151,A,USA,,,35,32,33,34,34,3.28,0.74,3,5,,,
M151,B-,USA,,,35,32,35,34,34,3.13,,3,5,14,14,28
M151,A,USA,,,35,32,34,33,34,4,,2,5,14,10,24
M151,B,USA,670,570,29,32,33,28,31,3.18,0.75,3,5,12,11,23
M121,A-,USA,,,35,32,31,29,32,3.34,0.72,3,4,9,8,17
M121,B+,USA,,,24,32,24,24,26,3.8,0.61,4,4,9,7,16
M151,B,,,,25,32,28,25,28,3.3,,3,5,12,11,23
M151,B,,,,28,32,31,34,31,3.18,0.74,3,5,,,
M151,A,,,,33,32,30,25,30,4,,2,5,,,
M151,B,,,,31,32,31,25,29,3.58,0.74,3,5,12,10,22
M151,B-,,,,23,32,22,25,26,3.21,0.87,3,5,13,12,25
M151,B-,,,,26,32,30,26,29,3.57,0.94,2,5,11,5,16
M151,A+,,,,33,32,27,31,31,4,0.96,2,5,14,14,28
M151,B,,,,32,32,33,30,32,3.8,0.93,2,6,,,
M151,C,,,,35,32,33,31,33,3.9,0.97,2,5,14,11,25
M151,D,USA,,,27,31,23,33,29,3.3,0.85,3,5,,,
M151,F,USA,,,33,31,35,33,32,2.96,,3,5,,,
M151,C,USA,,,26,31,23,24,26,3.07,0.71,4,5,12,6,18
M151,C,USA,,,27,31,25,27,28,3.92,0.94,3,5,,,
M151,A,USA,620,720,24,31,28,31,29,4,0.94,2,5,,,
M151,A-,USA,,,26,31,30,27,29,3.5,,3,6,,,
M151,B,USA,,,35,31,33,32,33,2.84,,3,5,,,
M145,C+,USA,,,30,31,28,33,30,3,,4,5,11,8,19
M145,B+,USA,,,28,31,31,30,30,,,2,4,5,7,12
M145,C-,USA,,,31,31,35,35,33,3.53,,3,3,7,5,12
M151,C+,,,,34,31,33,36,34,3.53,,2,5,7,10,17
M151,C,,600,720,26,31,29,26,28,3.55,,3,5,,,
M151,B,,,,26,31,23,26,27,3.94,0.93,3,5,10,9,19
M151,C,,,,27,31,31,31,30,3.75,0.85,3,5,,,
M151,C+,,,,29,31,27,25,28,3.52,0.83,3,5,7,8,15
M151,D,,,,34,31,33,36,34,3.7,0.76,2,5,,,
M151,D+,,,,34,31,28,31,31,4,0.99,2,5,13,11,24
M151,A,,,,34,31,27,31,31,3.87,0.97,1,5,14,10,24
M151,C,USA,,,30,30,31,28,30,3.93,0.97,2,5,9,10,19
M151,W,USA,,,29,30,33,30,31,2.88,0.56,4,4,,,
M151,A,USA,,,34,30,33,35,33,3.97,0.93,2,5,11,11,22
M151,C,USA,,,30,30,29,34,31,2.47,,4,5,13,13,26
M151,A,USA,,,33,30,30,32,31,3.5,,2,5,1,6,7
M151,B,USA,,,29,30,32,31,31,2.87,,3,5,12,9,21
M151,A,USA,,,27,30,32,33,31,3.03,0.509202454,4,4, , ,
M151,B-,USA,730,700,32,30,36,35,33,3.53,,2,5,,,
M121,B+,USA,,,36,30,34,33,33,3,0.49,5,5,9,10,19
M151,B+,,,,29,30,32,34,31,3.68,0.95,2,5,,,
M151,F,,,,31,30,31,25,29,3.03,0.61,4,5,10,8,18
M151,D-,,,,34,30,28,26,30,3.31,0.83,3,5,8,5,13
M151,C+,,,,21,30,29,29,27,3.03,0.71,3,5,8,7,15
M151,C+,,,,34,30,33,25,31,3.63,0.83,2,5,12,10,22
M151,B,,,,35,30,30,26,30,3,,3,5,,,
M145,B,INT,,,20,29,18,28,24,,,,4,9,9,18
M151,B-,INT,,,19,29,28,23,25,3.44,,2,4, , ,
M151,A-,USA,,,27,29,29,30,29,3.55,0.95,2,5,12,9,21
M151,C,USA,640,660,33,29,28,22,28,3.5,,3,5,10,9,19
M151,W,USA,,,32,29,28,29,30,3.24,0.82,3,5,10,8,18
M151,C,USA,,,24,29,20,24,24,3.89,0.88,4,4,12,6,18
M151,C,USA,690,630,32,29,27,29,29,2.9,,4,5,12,12,24
M151,B-,USA,,,31,29,25,26,28,3.97,1,2,5,,,
M151,C,USA,770,660,34,29,33,28,31,3.96,,1,6,12,10,22
M151,W,USA,,,26,29,23,23,25,2.97,0.81,4,5,,,
M151,B,USA,,,33,29,34,34,33,4,,2,5,8,9,17
M151,C+,USA,,,26,29,28,28,28,3.19,0.63,4,5,10,6,16
M151,W,USA,,,30,29,33,30,31,3.46,,2,5,12,8,20
M151,B+,USA,,,35,29,33,31,30,4,0.98,2,5,11,9,20
M151,W,USA,,,24,29,23,25,25,3.82,0.89,3,4,,,
M151,W,USA,,,31,29,28,26,29,2.74,,4,5,13,12,25
M151,B-,USA,,,24,29,29,22,26,3.41,,3,3,7,0,7
M151,C-,USA,,,28,29,21,25,26,3.31,0.842,4,4,9,9,18
M145,A,USA,680,600,33,29,31,26,30,3.22,,3,4,9,7,16
M131,A,USA,,,26,29,22,25,26,2.65,0.66,4,2,,,
M131,A,USA,,,26,29,34,31,30,3.75,,3,3,10,4,14
M121,C-,USA,,,30,29,24,23,27,2.8,,5,4,4,4,8
M121,W,USA,,,35,29,27,24,29,4,,1,4,9,5,14
M121,A-,USA,,,35,29,25,29,30,3.62,0.931623932,2,5,13,9,22
M151,A,,,,32,29,30,28,30,3.97,0.97,2,6,,,
M151,B-,,,,35,29,34,29,32,3.07,0.88,3,5,,,
M151,A,,,,29,29,31,28,29,3.74,0.96,2,5,,,
M151,A+,,,,26,29,26,21,26,4,0.99,2,6,,,
M151,B,,,,22,29,23,30,26,2.87,0.69,3,5,12,9,21
M151,B-,,710,660,28,29,33,34,31,3.87,0.94,3,5,14,13,27
M151,C+,,,,28,29,30,24,28,3.3,,3,5,,,
M151,C,,,,28,29,30,33,30,4,0.97,2,5,12,6,18
M151,C+,,,,30,29,28,26,29,4,,2,5,9,9,18
M151,A-,,740,580,30,29,31,25,29,3.91,0.98,1,5,,,
